species_code;coeff_a;coeff_b;min_c150;max_c150;
QUERCUS_SP;1.0089;0.196;35;295;
QUERCUS_RUBRA;1.0154;-0.3087;35;265;
FAGUS_SYLVATICA;1.0102;0.0215;35;295;
ACER_PSEUDOPLATANUS;1.0139;-0.0356;35;245;
FRAXINUS_EXCELSIOR;1.0157;-0.4704;35;245;
ULMUS_SP;1.0111;0.2037;35;295;
PRUNUS_AVIUM;1.0129;0.1786;35;225;
BETULA_SP;1.0243;-0.3787;35;195;
ALNUS_GLUTINOSA;1.0243;-0.3787;35;195;
PICEA_ABIES;1.0195;-0.3866;35;265;
PSEUDOTSUGA_MENZIESII;1.0139;-0.0745;35;295;
LARIX_SP;1.0212;-0.9054;35;235;
PINUS_SYLVESTRIS;1.0064;0.8076;35;235;
CRATAEGUS_SP;1.0102;0.0215;35;295;
PRUNUS_SP;1.0102;0.0215;35;295;
CARPINUS_SP;1.0102;0.0215;35;295;
CASTANEA_SATIVA;1.0102;0.0215;35;295;
CORYLUS_AVELLANA;1.0102;0.0215;35;295;
MALUS_SP;1.0102;0.0215;35;295;
PYRUS_SP;1.0102;0.0215;35;295;
SORBUS_ARIA;1.0102;0.0215;35;295;
SAMBUCUS_SP;1.0102;0.0215;35;295;
RHAMNUS_FRANGULA;1.0102;0.0215;35;295;
PRUNUS_CERASUS;1.0102;0.0215;35;295;
ALNUS_INCANA;1.0243;-0.3787;35;195;
POPULUSxCANADENSIS;1.0243;-0.3787;35;195;
POPULUS_TREMULA;1.0243;-0.3787;35;195;
PINUS_NIGRA;1.0064;0.8076;35;235;
PINUS_LARICIO;1.0064;0.8076;35;235;
TAXUS_BACCATA;1.0064;0.8076;35;235;
ACER_PLATANOIDES;1.0139;-0.0356;35;245;
ACER_CAMPESTRE;1.0139;-0.0356;35;245;
SORBUS_AUCUPARIA;1.0139;-0.0356;35;245;
JUNGLANS_SP;1.0139;-0.0356;35;245;
TILLIA_SP;1.0139;-0.0356;35;245;
PICEA_SITCHENSIS;1.0195;-0.3866;26;265;
ABIES_ALBA;1.0195;-0.3866;26;265;
TSUGA_CANADENSIS;1.0195;-0.3866;26;265;
ABIES_GRANDIS;1.0139;-0.0745;35;295;
CUPRESSUS_SP;1.0139;-0.0745;35;295;
THUJA_PLICATA;1.0139;-0.0745;35;295;
AESCULUS_HIPPOCASTANUM;1.0089;0.196;35;295;
ROBINIA_PSEUDOACACIA;1.0089;0.196;35;295;
SALIX_SP;1.0089;0.196;35;295;
