species_code;coeff_a;coeff_b;coeff_c;coeff_d;min_c130;max_c130
QUERCUS_SP;0.019546;-0.0029588;0.0011074;-3.71E-08;36;298
QUERCUS_ROBUR;0.019546;-0.0029588;0.0011074;-3.71E-08;36;298
QUERCUS_PUBESCENS;0.019546;-0.0029588;0.0011074;-3.71E-08;36;298
QUERCUS_PETRAEA;0.019546;-0.0029588;0.0011074;-3.71E-08;36;298
QUERCUS_RUBRA;0.011189;-0.0023212;0.0010179;-5.01E-08;35;269
FAGUS_SYLVATICA;0.01734;-0.003008;0.0011589;1.38E-08;35;298
ACER_PSEUDOPLATANUS;-0.019508;0.00015072;0.000057816;0.000000081;35;249
FRAXINUS_EXCELSIOR;-0.040364;0.00017945;0.000076857;7.36E-08;35;249
ULMUS_SP;-0.0060582;-0.00126;0.000086604;1.54E-08;35;298
PRUNUS_AVIUM;0.048959;-0.002599;0.00008242;6.16E-08;36;228
BETULA_SP;0.0071727;-0.0022222;0.0010536;-0.000000109;36;200
ALNUS_GLUTINOSA;0.0071727;-0.0022222;0.0010536;-0.000000109;36;200
PICEA_ABIES;0.032253;-0.0040132;0.0013221;-1.89E-08;26;270
PSEUDOTSUGA_MENZIESII;0.083862;-0.0064217;0.0015693;-7.72E-08;36;299
LARIX_SP;0.019784;-0.0031514;0.0012589;-5.06E-08;35;240
PINUS_SYLVESTRIS;-0.0052616;-0.001393;0.000088771;0.0014349;36;236
CRATAEGUS_SP;0.01734;-0.003008;0.0011589;1.38E-08;35;298
PRUNUS_SP;0.01734;-0.003008;0.0011589;1.38E-08;35;298
CARPINUS_SP;0.01734;-0.003008;0.0011589;1.38E-08;35;298
CASTANEA_SATIVA;0.01734;-0.003008;0.0011589;1.38E-08;35;298
CORYLUS_AVELLANA;0.01734;-0.003008;0.0011589;1.38E-08;35;298
MALUS_SP;0.01734;-0.003008;0.0011589;1.38E-08;35;298
PYRUS_SP;0.01734;-0.003008;0.0011589;1.38E-08;35;298
SORBUS_ARIA;0.01734;-0.003008;0.0011589;1.38E-08;35;298
SAMBUCUS_SP;0.01734;-0.003008;0.0011589;1.38E-08;35;298
RHAMNUS_FRANGULA;0.01734;-0.003008;0.0011589;1.38E-08;35;298
PRUNUS_CERASUS;0.01734;-0.003008;0.0011589;1.38E-08;35;298
ALNUS_INCANA;0.0071727;-0.0022222;0.0010536;-0.000000109;36;200
POPULUSxCANADENSIS;0.0071727;-0.0022222;0.0010536;-0.000000109;36;200
POPULUS_TREMULA;0.0071727;-0.0022222;0.0010536;-0.000000109;36;200
PINUS_NIGRA;-0.0052616;-0.001393;0.000088771;0.0014349;36;236
PINUS_LARICIO;-0.0052616;-0.001393;0.000088771;0.0014349;36;236
TAXUS_BACCATA;-0.0052616;-0.001393;0.000088771;0.0014349;36;236
ACER_PLATANOIDES;-0.019508;0.00015072;0.000057816;0.000000081;36;249
ACER_CAMPESTRE;-0.019508;0.00015072;0.000057816;0.000000081;36;249
SORBUS_AUCUPARIA;-0.019508;0.00015072;0.000057816;0.000000081;36;249
JUNGLANS_SP;-0.019508;0.00015072;0.000057816;0.000000081;36;249
TILLIA_SP;-0.019508;0.00015072;0.000057816;0.000000081;36;249
PICEA_SITCHENSIS;0.032253;-0.0040132;0.0013221;-1.89E-08;26;270
ABIES_ALBA;0.032253;-0.0040132;0.0013221;-1.89E-08;26;270
TSUGA_CANADENSIS;0.032253;-0.0040132;0.0013221;-1.89E-08;26;270
ABIES_GRANDIS;0.083862;-0.0064217;0.0015693;-7.72E-08;36;299
CUPRESSUS_SP;0.083862;-0.0064217;0.0015693;-7.72E-08;36;299
THUJA_PLICATA;0.083862;-0.0064217;0.0015693;-7.72E-08;36;299
AESCULUS_HIPPOCASTANUM;0.019546;-0.0029588;0.0011074;-3.71E-08;36;298
ROBINIA_PSEUDOACACIA;0.019546;-0.0029588;0.0011074;-3.71E-08;36;298
SALIX_SP;0.019546;-0.0029588;0.0011074;-3.71E-08;36;298
