species_code;coeff_a;coeff_b;coeff_c;coeff_d;coeff_e;coeff_f;min_c130;max_c130;min_hdom;max_hdom
QUERCUS_SP;0.028822;-0.00047161;0.000017362;-0.000123;-0.0027284;0.000003133;36;298;10;32
QUERCUS_ROBUR;0.028822;-0.00047161;0.000017362;-0.000123;-0.0027284;0.000003133;36;298;10;32
QUERCUS_PUBESCENS;0.028822;-0.00047161;0.000017362;-0.000123;-0.0027284;0.000003133;36;298;10;32
QUERCUS_PETRAEA;0.028822;-0.00047161;0.000017362;-0.000123;-0.0027284;0.000003133;36;298;10;32
QUERCUS_RUBRA;-0.0034603;0.00063476;-0.0535;-0.000297;-0.0013563;3.52E-02;35;269;12;30
FAGUS_SYLVATICA;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
ACER_PSEUDOPLATANUS;0.031554;0.0014656;-0.0111;6.13E-04;-0.0047547;0.000002663;36;249;16;24
FRAXINUS_EXCELSIOR;-0.036774;0.0010185;2.42E-02;8.72E-04;-0.0011644;2.60E-02;35;249;20;32
ULMUS_SP;-0.12683;0.0011719;9.79E-02;4.98E-04;0.0021198;0.000002226;35;298;18;30
PRUNUS_AVIUM;0.08292;-0.00073547;-0.0542;6.84E-04;-0.004083;0.000003696;36;228;14;34
BETULA_SP;0.033625;-0.0007522;0.000033851;-0.00131;-0.0027675;2.71E-02;36;200;12;30
ALNUS_GLUTINOSA;0.033625;-0.0007522;0.000033851;-0.00131;-0.0027675;2.71E-02;36;200;12;30
PICEA_ABIES;0.013556;-0.0012885;0.000045703;-0.00077;-0.0011374;2.58E-02;26;270;10;42
PSEUDOTSUGA_MENZIESII;0.0014078;-0.0011755;0.000043342;1.48E-04;-0.000087036;0.00000188;36;299;10;42
LARIX_SP;-0.00017511;0.00050499;0.000015638;-0.000744;-0.0021894;3.24E-02;35;240;12;36
PINUS_SYLVESTRIS;-0.029634;0.0012079;4.43E-02;7.02E-04;-0.00065136;2.41E-02;36;236;12;32
CRATAEGUS_SP;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
PRUNUS_SP;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
CARPINUS_SP;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
CASTANEA_SATIVA;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
CORYLUS_AVELLANA;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
MALUS_SP;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
PYRUS_SP;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
SORBUS_ARIA;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
SAMBUCUS_SP;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
RHAMNUS_FRANGULA;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
PRUNUS_CERASUS;0.031293;-0.00077641;0.000017201;-0.000264;-0.0021702;3.02E-02;35;298;16;40
ALNUS_INCANA;0.033625;-0.0007522;0.000033851;-0.00131;-0.0027675;2.71E-02;36;200;12;30
POPULUSxCANADENSIS;0.033625;-0.0007522;0.000033851;-0.00131;-0.0027675;2.71E-02;36;200;12;30
POPULUS_TREMULA;0.033625;-0.0007522;0.000033851;-0.00131;-0.0027675;2.71E-02;36;200;12;30
PINUS_NIGRA;-0.029634;0.0012079;4.43E-02;7.02E-04;-0.00065136;2.41E-02;36;236;12;32
PINUS_LARICIO;-0.029634;0.0012079;4.43E-02;7.02E-04;-0.00065136;2.41E-02;36;236;12;32
TAXUS_BACCATA;-0.029634;0.0012079;4.43E-02;7.02E-04;-0.00065136;2.41E-02;36;236;12;32
ACER_PLATANOIDES;0.031554;0.0014656;-0.0111;6.13E-04;-0.0047547;0.000002663;36;249;16;24
ACER_CAMPESTRE;0.031554;0.0014656;-0.0111;6.13E-04;-0.0047547;0.000002663;36;249;16;24
SORBUS_AUCUPARIA;0.031554;0.0014656;-0.0111;6.13E-04;-0.0047547;0.000002663;36;249;16;24
JUNGLANS_SP;0.031554;0.0014656;-0.0111;6.13E-04;-0.0047547;0.000002663;36;249;16;24
TILLIA_SP;0.031554;0.0014656;-0.0111;6.13E-04;-0.0047547;0.000002663;36;249;16;24
PICEA_SITCHENSIS;0.013556;-0.0012885;0.000045703;-0.00077;-0.0011374;2.58E-02;26;270;10;42
ABIES_ALBA;0.013556;-0.0012885;0.000045703;-0.00077;-0.0011374;2.58E-02;26;270;10;42
TSUGA_CANADENSIS;0.013556;-0.0012885;0.000045703;-0.00077;-0.0011374;2.58E-02;26;270;10;42
ABIES_GRANDIS;0.0014078;-0.0011755;0.000043342;1.48E-04;-0.000087036;0.00000188;36;299;10;42
CUPRESSUS_SP;0.0014078;-0.0011755;0.000043342;1.48E-04;-0.000087036;0.00000188;36;299;10;42
THUJA_PLICATA;0.0014078;-0.0011755;0.000043342;1.48E-04;-0.000087036;0.00000188;36;299;10;42
AESCULUS_HIPPOCASTANUM;0.028822;-0.00047161;0.000017362;-0.000123;-0.0027284;0.000003133;36;298;10;32
ROBINIA_PSEUDOACACIA;0.028822;-0.00047161;0.000017362;-0.000123;-0.0027284;0.000003133;36;298;10;32
SALIX_SP;0.028822;-0.00047161;0.000017362;-0.000123;-0.0027284;0.000003133;36;298;10;32
