species_code;coeff_a;coeff_b;coeff_c;coeff_d;coeff_e;coeff_f;min_c130;max_c130;min_htot;max_htot
QUERCUS_SP;-0.0022735;0.000124;0.000012642;-0.000595;-0.0016657;3.75E-02;36;298;8;34
QUERCUS_ROBUR;-0.0022735;0.000124;0.000012642;-0.000595;-0.0016657;3.75E-02;36;298;8;34
QUERCUS_PUBESCENS;-0.0022735;0.000124;0.000012642;-0.000595;-0.0016657;3.75E-02;36;298;8;34
QUERCUS_PETRAEA;-0.0022735;0.000124;0.000012642;-0.000595;-0.0016657;3.75E-02;36;298;8;34
QUERCUS_RUBRA;-0.02149;0.00095069;-0.0431;-0.000703;-0.00074299;3.80E-02;35;269;10;30
FAGUS_SYLVATICA;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
ACER_PSEUDOPLATANUS;0.010343;-0.0014341;0.000034521;-0.00131;0.00077115;3.02E-02;36;249;12;30
FRAXINUS_EXCELSIOR;-0.039083;0.0019935;-0.000016148;-0.0000642;-0.00098341;3.84E-02;35;249;14;34
ULMUS_SP;-0.034716;0.0013586;-0.000013402;-0.000057;0.00016516;3.88E-02;35;298;8;34
PRUNUS_AVIUM;-0.002311;-0.00037474;0.000015103;-0.000252;0.00033282;3.19E-02;36;228;10;28
BETULA_SP;-0.011392;-0.0001001;0.00002829;-0.00187;-0.00059573;3.08E-02;36;200;8;30
ALNUS_GLUTINOSA;-0.011392;-0.0001001;0.00002829;-0.00187;-0.00059573;3.08E-02;36;200;8;30
PICEA_ABIES;-0.010929;0.0013945;-0.096;-0.00252;-0.0027922;4.90E-02;26;270;8;42
PSEUDOTSUGA_MENZIESII;-0.021794;0.00064324;4.49E-02;-0.00156;-0.00022095;3.76E-02;35;270;8;42
LARIX_SP;-0.03088;0.0014885;-0.0493;-0.00123;-0.0011638;4.11E-02;35;240;10;36
PINUS_SYLVESTRIS;-0.039836;0.0015505;-0.0618;4.80E-04;0.000073997;2.96E-02;36;236;10;34
CRATAEGUS_SP;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
PRUNUS_SP;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
CARPINUS_SP;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
CASTANEA_SATIVA;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
CORYLUS_AVELLANA;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
MALUS_SP;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
PYRUS_SP;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
SORBUS_ARIA;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
SAMBUCUS_SP;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
RHAMNUS_FRANGULA;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
PRUNUS_CERASUS;-0.015572;0.00092314;-0.0714;-0.000772;-0.0013528;4.04E-02;35;298;8;42
ALNUS_INCANA;-0.011392;-0.0001001;0.00002829;-0.00187;-0.00059573;3.08E-02;36;200;8;30
POPULUSxCANADENSIS;-0.011392;-0.0001001;0.00002829;-0.00187;-0.00059573;3.08E-02;36;200;8;30
POPULUS_TREMULA;-0.011392;-0.0001001;0.00002829;-0.00187;-0.00059573;3.08E-02;36;200;8;30
PINUS_NIGRA;-0.039836;0.0015505;-0.0618;4.80E-04;0.000073997;2.96E-02;36;236;10;34
PINUS_LARICIO;-0.039836;0.0015505;-0.0618;4.80E-04;0.000073997;2.96E-02;36;236;10;34
TAXUS_BACCATA;-0.039836;0.0015505;-0.0618;4.80E-04;0.000073997;2.96E-02;36;236;10;34
ACER_PLATANOIDES;0.010343;-0.0014341;0.000034521;-0.00131;0.00077115;3.02E-02;36;249;12;30
ACER_CAMPESTRE;0.010343;-0.0014341;0.000034521;-0.00131;0.00077115;3.02E-02;36;249;12;30
SORBUS_AUCUPARIA;0.010343;-0.0014341;0.000034521;-0.00131;0.00077115;3.02E-02;36;249;12;30
JUNGLANS_SP;0.010343;-0.0014341;0.000034521;-0.00131;0.00077115;3.02E-02;36;249;12;30
TILLIA_SP;0.010343;-0.0014341;0.000034521;-0.00131;0.00077115;3.02E-02;36;249;12;30
PICEA_SITCHENSIS;-0.010929;0.0013945;-0.096;-0.00252;-0.0027922;4.90E-02;26;270;8;42
ABIES_ALBA;-0.010929;0.0013945;-0.096;-0.00252;-0.0027922;4.90E-02;26;270;8;42
TSUGA_CANADENSIS;-0.010929;0.0013945;-0.096;-0.00252;-0.0027922;4.90E-02;26;270;8;42
ABIES_GRANDIS;-0.021794;0.00064324;4.49E-02;-0.00156;-0.00022095;3.76E-02;35;270;8;42
CUPRESSUS_SP;-0.021794;0.00064324;4.49E-02;-0.00156;-0.00022095;3.76E-02;35;270;8;42
THUJA_PLICATA;-0.021794;0.00064324;4.49E-02;-0.00156;-0.00022095;3.76E-02;35;270;8;42
AESCULUS_HIPPOCASTANUM;-0.0022735;0.000124;0.000012642;-0.000595;-0.0016657;3.75E-02;36;298;8;34
ROBINIA_PSEUDOACACIA;-0.0022735;0.000124;0.000012642;-0.000595;-0.0016657;3.75E-02;36;298;8;34
SALIX_SP;-0.0022735;0.000124;0.000012642;-0.000595;-0.0016657;3.75E-02;36;298;8;34
