species_code;coeff_a;coeff_b;coeff_c;coeff_d;min_c130;max_c130
QUERCUS_SP;0.076071;-0.0022424;0.000012236;1.18E-07;36;298
QUERCUS_ROBUR;0.076071;-0.0022424;0.000012237;1.18E-07;36;298
QUERCUS_PETRAEA;0.076071;-0.0022424;0.000012238;1.18E-07;36;298
QUERCUS_PUBESCENS;0.076071;-0.0022424;0.000012239;1.18E-07;36;298
QUERCUS_RUBRA;0.20549;-0.005751;0.000039377;7.36E-08;36;298
FAGUS_SYLVATICA;0.081516;-0.0017371;-2.35E-06;2.14E-07;36;298
ACER_PSEUDOPLATANUS;-0.11209;0.0049981;-0.000074575;4.17E-07;35;269
FRAXINUS_EXCELSIOR;-0.044839;0.0023434;-0.000041648;3.26E-07;35;298
ULMUS_SP;0.12953;-0.0049679;0.000050852;-4.24E-08;36;249
PRUNUS_AVIUM;-0.017506;0.00093138;-0.00001966;0.17556;35;249
BETULA_SP;-0.24892;0.0086317;-0.000098007;4.05E-07;35;298
ALNUS_GLUTINOSA;-0.24892;0.0086317;-0.000098007;4.05E-07;36;228
LARIX_SP;0.21632;-0.0041672;0.000020581;0;36;200
PINUS_SYLVESTRIS;-0.037102;0.0016963;-0.000022619;1.04E-07;36;200
CRATAEGUS_SP;0.081516;-0.0017371;-2.35E-06;2.14E-07;35;240
PRUNUS_SP;0.081516;-0.0017371;-2.35E-06;2.14E-07;36;236
CARPINUS_SP;0.081516;-0.0017371;-2.35E-06;2.14E-07;35;298
CASTANEA_SATIVA;0.081516;-0.0017371;-2.35E-06;2.14E-07;35;298
CORYLUS_AVELLANA;0.081516;-0.0017371;-2.35E-06;2.14E-07;35;298
MALUS_SP;0.081516;-0.0017371;-2.35E-06;2.14E-07;35;298
PYRUS_SP;0.081516;-0.0017371;-2.35E-06;2.14E-07;35;298
SORBUS_ARIA;0.081516;-0.0017371;-2.35E-06;2.14E-07;35;298
SAMBUCUS_SP;0.081516;-0.0017371;-2.35E-06;2.14E-07;35;298
RHAMNUS_FRANGULA;0.081516;-0.0017371;-2.35E-06;2.14E-07;35;298
PRUNUS_CERASUS;0.081516;-0.0017371;-2.35E-06;2.14E-07;35;298
ALNUS_INCANA;-0.24892;0.0086317;-0.000098007;4.05E-07;35;298
POPULUSxCANADENSIS;-0.24892;0.0086317;-0.000098007;4.05E-07;35;298
POPULUS_TREMULA;-0.24892;0.0086317;-0.000098007;4.05E-07;36;200
PINUS_NIGRA;-0.037102;0.0016963;-0.000022619;1.04E-07;36;200
PINUS_LARICIO;-0.037102;0.0016963;-0.000022619;1.04E-07;36;200
TAXUS_BACCATA;-0.037102;0.0016963;-0.000022619;1.04E-07;36;236
ACER_PLATANOIDES;-0.11209;0.0049981;-0.000074575;4.17E-07;36;236
ACER_CAMPESTRE;-0.11209;0.0049981;-0.000074575;4.17E-07;36;236
SORBUS_AUCUPARIA;-0.11209;0.0049981;-0.000074575;4.17E-07;36;249
JUNGLANS_SP;-0.11209;0.0049981;-0.000074575;4.17E-07;36;249
TILLIA_SP;-0.11209;0.0049981;-0.000074575;4.17E-07;36;249
AESCULUS_HIPPOCASTANUM;0.076071;-0.0022424;0.000012236;1.18E-07;36;249
ROBINIA_PSEUDOACACIA;0.076071;-0.0022424;0.000012236;1.18E-07;36;249
SALIX_SP;0.076071;-0.0022424;0.000012236;1.18E-07;36;298
