species_code;coeff_a;coeff_b;coeff_c
QUERCUS_ROBUR;;0,5057;
QUERCUS_PETRAEA;-4,438;0,5455;-0,0001397
QUERCUS_PUBESCENS;-3,319;0,5664;-0,0001778
FAGUS_SYLVATICA;-4,498;0,5107;-0,0001332
PINUS_PINASTER;-1,712;0,513;-0,0001124
PINUS_SYLVESTRIS;-2,247;0,4985;-0,0001212
PINUS_LARICIO;;0,5215;-0,0001271
PINUS_NIGRA;-8,427;0,5857;-0,0002748
PINUS_HALEPENSIS;;0,5258;-0,00023
PICEA_ABIES;-8,666;0,5839;-0,0002679
ABIES_ALBA;-4,523;0,6011;-0,0002243
PSEUDOTSUGA_MENZIESII;-7,15;0,5431;-0,0002951
